run_at,score,direction_z,coverage
2026-05-11T14:54:52+09:00,41.68,-0.4329,51.0
2026-05-11T15:15:33+09:00,32.2,-1.0164,66.0
2026-05-11T15:48:12+09:00,27.97,-1.0744,76.0
2026-05-11T16:11:13+09:00,28.4,-1.0164,80.0
2026-05-11T16:54:22+09:00,32.45,-0.9534,70.0
2026-05-11T17:00:19+09:00,32.45,-0.9534,70.0
2026-05-12T10:47:40+09:00,32.01,-0.865,70.0
2026-05-12T13:03:14+09:00,32.01,-0.865,70.0
2026-05-13T13:10:57+09:00,32.1,-0.855,70.0
2026-05-13T13:53:24+09:00,32.1,-0.855,70.0
2026-05-14T13:10:15+09:00,34.35,-0.7151,70.0
2026-05-15T13:14:58+09:00,34.26,-0.7282,70.0
2026-05-18T13:39:17+09:00,32.86,-0.7877,70.0
2026-05-19T13:22:37+09:00,39.23,-0.3343,70.0
2026-05-20T13:25:00+09:00,40.06,-0.329,70.0
2026-05-21T13:41:30+09:00,41.63,-0.2699,70.0
2026-05-22T13:34:05+09:00,39.44,-0.3354,70.0
2026-05-25T13:48:26+09:00,39.52,-0.3327,70.0
2026-05-26T13:22:57+09:00,39.52,-0.3327,70.0
2026-05-27T13:45:59+09:00,38.7,-0.3743,70.0
2026-05-28T13:36:54+09:00,37.51,-0.4444,70.0
2026-05-29T13:39:38+09:00,37.33,-0.4427,70.0
2026-06-01T14:12:08+09:00,30.94,-0.8151,56.0
2026-06-02T13:58:38+09:00,32.05,-0.7957,52.0
2026-06-03T14:08:53+09:00,31.79,-0.7804,52.0
2026-06-04T14:02:32+09:00,36.43,-0.4946,70.0
2026-06-05T13:44:24+09:00,37.6,-0.4761,70.0
2026-06-08T13:59:43+09:00,37.35,-0.4877,70.0
2026-06-09T13:21:45+09:00,41.67,-0.0582,70.0
2026-06-10T13:43:43+09:00,41.64,-0.0554,70.0
2026-06-11T13:57:22+09:00,41.99,-0.0531,70.0
2026-06-12T13:59:33+09:00,42.76,-0.0154,70.0
2026-06-15T14:25:04+09:00,41.48,-0.0882,70.0
2026-06-16T14:28:01+09:00,37.92,-0.4941,70.0
2026-06-17T14:09:58+09:00,36.17,-0.6243,70.0
2026-06-18T13:59:12+09:00,37.08,-0.5715,70.0
2026-06-19T14:21:18+09:00,36.77,-0.5891,70.0
2026-06-22T14:26:49+09:00,36.77,-0.5891,70.0
2026-06-23T13:18:08+09:00,39.18,-0.4506,70.0
2026-06-24T13:22:05+09:00,39.52,-0.4311,70.0
2026-06-25T13:21:33+09:00,40.91,-0.3632,70.0
2026-06-26T13:37:22+09:00,41.61,-0.3349,70.0
2026-06-29T13:57:05+09:00,41.53,-0.3394,70.0
2026-06-30T13:22:13+09:00,43.47,-0.2784,70.0
2026-07-01T13:50:56+09:00,42.49,-0.304,70.0
2026-07-02T13:18:42+09:00,42.04,-0.3073,70.0
2026-07-03T13:05:07+09:00,41.9,-0.3115,70.0
2026-07-06T13:36:10+09:00,42.2,-0.2974,70.0
2026-07-07T13:14:45+09:00,40.93,-0.4284,70.0
2026-07-08T12:39:35+09:00,40.39,-0.4479,70.0
2026-07-09T13:15:04+09:00,39.51,-0.5167,70.0
2026-07-10T13:09:47+09:00,39.91,-0.5159,70.0
